1,TPJF,"合作方能正常发送请求,无返回数据,报rsa error",all,all,网关错误,\,"网关日志中看,kibana搜索message:api/url即可",1.看产品配置的key是否正确;2.api鉴权配置是否正确;3.网关配置是否正确(吴琪韩协助)4.jumperserver Transaction 可看
55,LX,反欺诈,授信通知,50003,调度错误,反欺诈,策略拒绝,人工干预
56,LX,lnTerm超过最大期限,放款请求,50005,调度错误,lnTerm超过最大期限,参数是24,改为低于12（核心）
57,LX,缺少firstRefundDay,放款请求,50005,调度错误,缺少firstRefundDay,缺少firstRefundDay,加上firstRefundDay
58,LX,没有id参数,放款请求,50005,调度错误,没有id参数,idNo改为id,idNo改为id
59,LX,首期还款日期必须大于借据起始日期,放款请求,50005,调度错误,首期还款日期必须大于借据起始日期,系统时间不是当期时间,入参时日期大于系统日期时间（核心）
60,LX,该流水号已经请求过了,放款请求,50005,调度错误,该流水号已经请求过了,征信请求的流水号和放款请求的流水号重复,修改放款请求的流水号
61,LX,放款金额超过最大限制,放款请求,50005,调度错误,放款金额超过最大限制,核心单笔放款最大不能超过40000,减少放款金额（核心）
62,LX,首期天数小于首期最小天数[15],还款通知文件,贷后文件,参数错误,入参首期天数小于15天,\,修改配置或者修改参数（核心-石云峰）
63,LX,因[每次贷款金额未超过最小限制]，放贷失败,还款通知文件,贷后文件,参数错误,入参的放款金额小于配置的最小金额,\,修改配置或者修改参数（核心-石云峰）
64,LX,上传文件报错，上传FTP 异常: Permission denied,还款通知文件,贷后文件,参数错误,上传路径错误,\,修改上传路径（助贷方）
65,LX,上传文件内容为空,还款通知文件,贷后文件,抽数错误,抽数未选定正确数据库,\,选择正确的数据库和字段抽数（ods-牟海军）
66,LX,还款金额利息不一致,还款结果文件,贷后文件,计算错误,计算规则的天数不一致,\,修改计算规则保持数据一致（助贷方）
67,LX,还款金额精度存在1分钱误差,还款结果文件,贷后文件,计算错误,计算规则的乘除顺序不一致,\,修改计算规则保持数据一致（助贷方）
68,LX,还款跑批量文件失败,还款结果文件,贷后文件,核心错误,文件解密出错，只解密了一半的数据,\,修改解密相关代码（核心-席毅锋）
69,LX,超出渠道配额,还款结果文件,贷后文件,支付错误,今日还款超出新网支付通道配置金额,\,修改支付通道配置（核心支付-杨健）
70,LX,代偿结清数据不一致,还款结果文件,贷后文件,核心错误,前两期未跑批量代偿,\,还款不可逆，重新放款跑代偿（核心-席毅锋）
71,LX,还款金额为0,还款结果文件,贷后文件,核心错误,核心批量还款出错,\,通知核心解决（核心-席毅锋）
72,LX,无法获取追偿文件,追偿文件,贷后文件,参数错误,追偿文件上传的文件名时间与系统时间不一致,\,修改文件名的时间（助贷方）
73,LX,sftp未看到借款合同,借款合同,贷后文件,配置问题,上一个小时的合同 ，要等到下一个小时的30分上传,\,等到30分获取借款合同（借款合同-陈发兴）
74,LX,,贷后文件,还款通知文件,参数错误,入参首期天数小于15天,首期天数小于首期最小天数[15],修改配置或者修改参数（核心-石云峰）
75,LX,,贷后文件,还款通知文件,参数错误,入参的放款金额小于配置的最小金额,因[每次贷款金额未超过最小限制]，放贷失败,修改配置或者修改参数（核心-石云峰）
76,LX,上传文件报错,贷后文件,还款通知文件,参数错误,上传路径错误,上传文件报错，上传FTP 异常: Permission denied,修改上传路径（助贷方）
77,LX,,贷后文件,还款通知文件,抽数错误,抽数未选定正确数据库,上传文件内容为空,选择正确的数据库和字段抽数（ods-牟海军）
78,LX,,贷后文件,还款结果文件,计算错误,计算规则的天数不一致,还款金额利息不一致,修改计算规则保持数据一致（助贷方）
79,LX,,贷后文件,还款结果文件,计算错误,计算规则的乘除顺序不一致,还款金额精度存在1分钱误差,修改计算规则保持数据一致（助贷方）
80,LX,,贷后文件,还款结果文件,核心错误,文件解密出错，只解密了一半的数据,还款跑批量文件失败,修改解密相关代码（核心-席毅锋）
81,LX,,贷后文件,还款结果文件,支付错误,今日还款超出新网支付通道配置金额,超出渠道配额,修改支付通道配置（核心支付-杨健）
82,LX,,贷后文件,还款结果文件,核心错误,前两期未跑批量代偿,代偿结清数据不一致,还款不可逆，重新放款跑代偿（核心-席毅锋）
83,LX,,贷后文件,还款结果文件,核心错误,核心批量还款出错,还款金额为0,通知核心解决（核心-席毅锋）
84,LX,,贷后文件,追偿文件,参数错误,追偿文件上传的文件名时间与系统时间不一致,无法获取追偿文件,修改文件名的时间（助贷方）
85,LX,,贷后文件,借款合同,配置问题,上一个小时的合同 ，要等到下一个小时的30分上传,sftp未看到借款合同,等到30分获取借款合同（借款合同-陈发兴）
